,DeviceId,Brand,Model
0,1877775838486905855,vivo,Y13
1,-3766087376657242966,Xiaomi,V183
2,-6238937574958215831,OPPO,R7s
3,8973197758510677470,Samsung,A368t
4,-2015528097870762664,Xiaomi,红米Note2
5,-8896952452425303597,Xiaomi,红米Note3
6,-2634171391322875113,Xiaomi,S5.1
7,-2526386806972133373,Samsung,Galaxy Grand Prime
8,1427934937997164515,Xiaomi,MI 2S
9,2866484947180243791,Samsung,Galaxy Note 2
10,-1788272684905942357,OPPO,R1C
11,3888046152514759348,Coolpad,大神F1Plus
12,-8290049751573565686,Xiaomi,note顶配版
13,7566850031220622843,Samsung,Galaxy Mega 2
14,7702755134578190493,Lenovo,星星1号
15,2210317512148990062,Samsung,Galaxy S4
16,6413840150233100470,Xiaomi,MI 3
17,-7157178797095341985,OPPO,Find 7
18,3773929364530635568,Samsung,Galaxy S4
19,-221375520372280325,Huawei,C8816
20,-1529784001868224729,Xiaomi,红米note
21,4850625369950350903,Xiaomi,MI 2S
22,-8705713195059105949,vivo,X6 L
23,-8237879889852702762,Samsung,Galaxy Win
24,9169567266060728256,Qiku,青春版
25,-2659978419129676300,Meizu,MX3
26,7284092388756598809,vivo,Y35
27,4861461186174922250,Samsung,Galaxy S4
28,6328635369683925487,Huawei,G520-5000
29,7041718166515288774,Huawei,荣耀4A
30,-1236911788776265857,Meizu,魅蓝Note 2
31,8160454408307831353,Huawei,Y560-CL00
32,4774893156465007808,Huawei,荣耀7i
33,3849619405853553440,OPPO,R7s
34,-4673024056609443545,OPPO,3000
35,5470448269705457016,Huawei,荣耀畅玩4C
36,2343579866000413303,Huawei,荣耀畅玩4C
37,9123578208462773473,Feixun,C730Lw
38,-7433504688399805169,Xiaomi,红米2A
39,-3204910612963454775,China Mobile,A1
40,2447736478478001359,Xiaomi,红米Note2
41,-4565983969660056221,Huawei,荣耀4A
42,6388479051361027798,HTC,One
43,-7551177178690081198,Samsung,Galaxy J7
44,7282984770550295272,OPPO,R3
45,-7576597756028049029,Meizu,MX2
46,-5359700961533042039,Huawei,荣耀畅玩5
47,-2195934948798249763,Xiaomi,红米2A
48,-192352794899525229,Huawei,荣耀7
49,-6356216319990099800,Xiaomi,红米Note3
50,5658503144090334304,Xiaomi,红米Note3
51,5362414323913396709,Xiaomi,MI 4
52,-5213772073878480965,HTC,One M8
53,7429804557855734395,Coolpad,大神F1Plus
54,3555236982352164337,Xiaomi,红米1S
55,-4812392510358928779,Huawei,麦芒4
56,5717123589381461122,Samsung,Galaxy S6 Edge
57,3743323523263244174,Samsung,A3800d
58,4295419075302941056,Samsung,P780
59,91862595983858433,Huawei,Ascend G7
60,5040917292554192732,Huawei,荣耀6
61,-298209719519394007,vivo,Xperia SL
62,2867376881216420730,Xiaomi,红米note
63,5191524460861112478,vivo,Y17T
64,6697710099523141698,Xiaomi,红米2A
65,-1716802318038722504,Huawei,荣耀畅玩4X
66,2491834756764052202,Xiaomi,红米Note2
67,4587826855157237169,Xiaomi,MI 4
68,-8493829029096165645,Huawei,Ascend P7
69,-6917920679995755523,Samsung,Galaxy Grand 2
70,-5309065816258250269,Huawei,荣耀3X畅玩版
71,-3870196764022791304,Huawei,荣耀3X畅玩版
72,1695370769288061373,Xiaomi,MI 2S
73,-278068502873964170,Huawei,荣耀X2
74,-2893885378330434404,Xiaomi,红米note
75,-912049581523959454,Xiaomi,MI 2S
76,292490367575458114,Huawei,Ascend P8
77,-4360555508973614819,Huawei,Ascend P8
78,4212674843428101228,Xiaomi,note顶配版
79,4639336036346111635,OPPO,R2017
80,-5718006612845148817,Meizu,魅蓝NOTE
81,8915561730113476471,Huawei,Mate 2
82,-4324052415866163942,HTC,M8
83,8267071147690589949,Amagatarai,T87+
84,-6811020752449486929,vivo,X710L
85,-3627593989895490489,Xiaomi,红米2A
86,-1331297413733813437,Samsung,A890e
87,-4918287877159341617,OPPO,R7
88,4071189105200132729,vivo,X5M
89,-7417783733821429514,Meizu,MX5
90,-8511468882134219711,Samsung,Galaxy Mega 5.8
91,1721264555614172216,Xiaomi,红米note
92,6436642349073758222,Extreme treasure,L81
93,-6947252461631064868,vivo,Xperia Z1
94,4653180589912788852,Huawei,荣耀6 Plus
95,-1448462447603417846,vivo,X5Max+
96,-1095322848316287559,Samsung,Galaxy J5
97,7159481660763360016,Samsung,Galaxy Note 4
98,-7551022170420705991,Huawei,荣耀畅玩4X
99,8913712665560554000,OPPO,A31
100,-8535054574873945625,Xiaomi,GN706L
101,-201913740969188733,LG,G3
102,3542609564785412310,Xiaomi,红米Note2
103,-5671369060219766721,Huawei,荣耀4A
104,-100940592492056221,Huawei,荣耀3X畅玩版
105,8900820791949736369,OPPO,A31
106,-9180926281340471711,Huawei,P8 Lite
107,-8834197419666116450,HTC,Sensation XE with Beats Audio Z715e
108,7264816067417084803,Samsung,A880
109,-7442953120881930488,Huawei,荣耀+
110,3036896777601266392,vivo,X5L
111,-4664826343102058626,Coolpad,8720L
112,7217630266393848921,Obersin,IVO 6655
113,612130167135025468,OPPO,R7 Plus
114,-958885459095616125,Huawei,荣耀畅玩4
115,6583615012141971106,Meizu,MX4
116,453830899211448672,Huawei,Y635-TL00
117,6501207118535898105,OPPO,R7 Plus
118,6022573162602849507,Meizu,魅蓝NOTE
119,-5302541723675315957,Samsung,Galaxy Note 4
120,6290471445634216317,Samsung,Galaxy S3
121,1245304237162917806,vivo,X3L
122,3490014235418428347,OPPO,R7 Plus
123,-942277992798295690,Quality rice,3
124,66371103820484651,Meizu,魅蓝NOTE
125,-936229475314307255,OPPO,R807
126,-2052931391884354863,Samsung,黄金斗士A8
127,2495325660978320665,HTC,One X
128,281919665103431151,Huawei,荣耀6 Plus
129,7149703526428520096,Xiaomi,小米note
130,-7764984413175280318,OPPO,R6007
131,3361290527680006429,Samsung,Galaxy S2 Plus
132,1251552303715560512,Quality rice,R1
133,8243526688621021992,Xiaomi,MI 4
134,3230310033150954188,Xiaomi,MI 4
135,-5857644671281076071,Xiaomi,MI 4
136,-29417624882649495,Huawei,荣耀3C
137,-4625727081731996510,Xiaomi,红米note
138,-1888038150727552835,OPPO,A31
139,-8598165017411771057,Xiaomi,小米4C
140,8432654329875462892,OPPO,R823T
141,4088195813844675474,Xiaomi,红米note
142,2059755379196360083,Huawei,Mate 7
143,-2137254309449876987,Samsung,Galaxy Note 2
144,3112068045705732552,Xiaomi,MI 2
145,-9177307476920384286,Xiaomi,红米Note2
146,1173167147066151986,Huawei,荣耀3X畅玩版
147,9147649881414493430,Xiaomi,MI 2S
148,-8415017597050690671,Xiaomi,红米Note2
149,-4765045079954976569,Coolpad,F2
150,-2910907458123210285,Huawei,荣耀畅玩4C
151,5178547052069202900,OPPO,Find 7
152,966221935852465578,Xiaomi,MI 2S
153,-739079869002392564,Samsung,Galaxy S5
154,-7699716794422319427,vivo,Xperia TX
155,6457541248272582514,OPPO,A31
156,802817220412171544,Samsung,Galaxy S5
157,-5849854081076173130,Xiaomi,note顶配版
158,-3222776250853963251,Samsung,Galaxy Trend DUOS 2
159,-3879814950608035840,YOU,Z1
160,8565274130668106625,Huawei,荣耀3X畅玩版
161,-8651665791729763140,Xiaomi,MI 2S
162,1228560407293443629,Huawei,Ascend P8
163,1702736327130287622,vivo,Y11IT
164,5361561146989183803,Xiaomi,红米note增强版
165,-2991070776784842454,Samsung,Galaxy S4
166,-1149982181569750169,OPPO,A31
167,1969430954850806984,Xiaomi,MI 3
168,-9180656534144532607,Xiaomi,天鉴W900
169,-7073378532221464420,Huawei,Ascend G700T
170,1608982815239116756,Samsung,Galaxy Note 3
171,-4244857800457832965,Samsung,Galaxy R
172,-7930945000118591468,Xiaomi,F301
173,-4338342114905461103,Huawei,荣耀畅玩5X
174,4486340976295203389,Xiaomi,红米note
175,-3183647977013292586,OPPO,N1 Mini
176,8394627758435216403,vivo,X5M
177,6154574796085364029,OPPO,Find 5
178,7028710317607338037,Xiaomi,红米note
179,-8931357977554266315,Qiku,青春版
180,-3105139098919670576,Xiaomi,小米note
181,-7512807473685808927,Huawei,荣耀畅玩4C
182,-4645265162522195186,Xiaomi,红米2
183,-7779024476214423627,Xiaomi,红米note增强版
184,4821188344512951911,vivo,X5Pro
185,-6804409317631863501,vivo,X5V
186,-1471555669853512141,Xiaomi,红米note
187,2228793902948671507,OPPO,A11
188,-4506037980642577602,Xiaomi,MI pad
189,-6542619556983326172,OPPO,R1
190,6817020593563771960,Nubian,Z7 Mini
191,1604294017098291062,Xiaomi,红米2A
192,-6914116235104401043,Samsung,Galaxy Note 5
193,-5016858682269222163,Xiaomi,小米4C
194,2245330978838477229,Huawei,MediaPad M2-801W
